claimed_expenses,wire_transfer,month,total_expenses,type,id,name
588290,321993,9,588290,D,1,AGOSTINELLI Donatella
575000,355283,8,575000,D,1,AGOSTINELLI Donatella
512100,320183,7,512100,D,1,AGOSTINELLI Donatella
355350,333773,6,355350,D,1,AGOSTINELLI Donatella
220927,514386,5,220927,D,1,AGOSTINELLI Donatella
313937,883102,4,313937,D,1,AGOSTINELLI Donatella
616444,372941,39,142300,D,1,AGOSTINELLI Donatella
491484,409711,45,132504,D,1,AGOSTINELLI Donatella
511503,588648,46,506673,D,1,AGOSTINELLI Donatella
552270,594358,40,125200,D,1,AGOSTINELLI Donatella
393080,476583,44,393080,D,1,AGOSTINELLI Donatella
572811,420946,43,567431,D,1,AGOSTINELLI Donatella
652700,329305,42,646270,D,1,AGOSTINELLI Donatella
577920,390863,41,574100,D,1,AGOSTINELLI Donatella
554350,439837,38,549700,D,1,AGOSTINELLI Donatella
587089,477475,37,579469,D,1,AGOSTINELLI Donatella
698363,583511,52,679971,D,106,ZOLEZZI Alberto
575111,308998,51,564479,D,106,ZOLEZZI Alberto
722989,333317,50,708956,D,106,ZOLEZZI Alberto
553814,346588,49,549734,D,106,ZOLEZZI Alberto
720979,274352,48,712814,D,106,ZOLEZZI Alberto
722272,265344,47,706796,D,106,ZOLEZZI Alberto
666685,172761,46,660039,D,106,ZOLEZZI Alberto
888515,217199,45,871601,D,106,ZOLEZZI Alberto
837158,217200,44,837158,D,106,ZOLEZZI Alberto
810282,280410,43,802292,D,106,ZOLEZZI Alberto
837531,217200,42,828071,D,106,ZOLEZZI Alberto
804334,337762,41,796630,D,106,ZOLEZZI Alberto
640391,439701,40,622688,D,106,ZOLEZZI Alberto
619730,172761,39,610047,D,106,ZOLEZZI Alberto
665449,196580,38,653422,D,106,ZOLEZZI Alberto
655122,196578,37,642054,D,106,ZOLEZZI Alberto
745774,185238,36,731838,D,106,ZOLEZZI Alberto
711455,173008,35,699908,D,106,ZOLEZZI Alberto
730457,173020,34,718359,D,106,ZOLEZZI Alberto
974778,217458,33,958649,D,106,ZOLEZZI Alberto
1100168,217459,32,1100168,D,106,ZOLEZZI Alberto
809347,217459,31,801447,D,106,ZOLEZZI Alberto
945959,217459,30,936619,D,106,ZOLEZZI Alberto
907925,217459,29,897178,D,106,ZOLEZZI Alberto
725711,882299,28,714044,D,106,ZOLEZZI Alberto
671426,281324,27,657619,D,106,ZOLEZZI Alberto
798682,340362,26,787917,D,106,ZOLEZZI Alberto
603234,546441,25,600384,D,106,ZOLEZZI Alberto
651546,369984,24,642061,D,106,ZOLEZZI Alberto
518372,354127,23,500708,D,106,ZOLEZZI Alberto
553663,424903,22,536583,D,106,ZOLEZZI Alberto
636232,180134,21,613408,D,106,ZOLEZZI Alberto
569351,401159,20,569351,D,106,ZOLEZZI Alberto
691194,349494,19,677964,D,106,ZOLEZZI Alberto
690259,322260,18,681569,D,106,ZOLEZZI Alberto
633449,312995,17,622229,D,106,ZOLEZZI Alberto
659139,1067186,16,644409,D,106,ZOLEZZI Alberto
613788,341009,15,598278,D,106,ZOLEZZI Alberto
514606,488850,14,494236,D,106,ZOLEZZI Alberto
578560,1115975,13,567280,D,106,ZOLEZZI Alberto
889416,276269,12,889416,D,106,ZOLEZZI Alberto
684560,314434,11,684560,D,106,ZOLEZZI Alberto
467126,284628,10,467126,D,106,ZOLEZZI Alberto
530643,227076,9,530643,D,106,ZOLEZZI Alberto
601190,376165,8,601190,D,106,ZOLEZZI Alberto
719381,244860,7,719381,D,106,ZOLEZZI Alberto
465703,337938,6,465703,D,106,ZOLEZZI Alberto
597207,347384,5,597207,D,106,ZOLEZZI Alberto
671233,271102,4,671233,D,106,ZOLEZZI Alberto
,,60,,D,105,VILLAROSA Alessio Mattia
,,59,,D,105,VILLAROSA Alessio Mattia
828699,364449,58,816077,D,105,VILLAROSA Alessio Mattia
832076,244495,57,811488,D,105,VILLAROSA Alessio Mattia
777406,358658,56,777406,D,105,VILLAROSA Alessio Mattia
766404,299034,55,753692,D,105,VILLAROSA Alessio Mattia
619237,251904,54,600603,D,105,VILLAROSA Alessio Mattia
646244,288243,53,637020,D,105,VILLAROSA Alessio Mattia
700879,683725,52,687903,D,105,VILLAROSA Alessio Mattia
674081,298774,51,663460,D,105,VILLAROSA Alessio Mattia
573023,340923,50,563893,D,105,VILLAROSA Alessio Mattia
416852,408923,49,412498,D,105,VILLAROSA Alessio Mattia
484268,337678,48,474464,D,105,VILLAROSA Alessio Mattia
966469,288838,47,953065,D,105,VILLAROSA Alessio Mattia
543729,287873,46,534045,D,105,VILLAROSA Alessio Mattia
592243,285360,45,573785,D,105,VILLAROSA Alessio Mattia
642903,265544,44,623975,D,105,VILLAROSA Alessio Mattia
1008573,276702,43,997984,D,105,VILLAROSA Alessio Mattia
691292,170208,42,675367,D,105,VILLAROSA Alessio Mattia
656885,181775,41,647903,D,105,VILLAROSA Alessio Mattia
1118158,455901,40,1102958,D,105,VILLAROSA Alessio Mattia
677047,325071,39,667539,D,105,VILLAROSA Alessio Mattia
652433,334297,38,642387,D,105,VILLAROSA Alessio Mattia
654963,370405,37,644466,D,105,VILLAROSA Alessio Mattia
889320,334593,36,877694,D,105,VILLAROSA Alessio Mattia
626814,274192,35,614034,D,105,VILLAROSA Alessio Mattia
649758,285962,34,635987,D,105,VILLAROSA Alessio Mattia
